Rank,Billionaire,Total net worth,Country/Region
1,Elon Musk,$232 billion,United States
2,Bernard Arnault,$204 billion,France
3,Jeff Bezos,$155 billion,United States
4,Bill Gates,$137 billion,United States
5,Larry Ellison,$132 billion,United States
6,Steve Ballmer,$119 billion,United States
7,Warren Buffett,$116 billion,United States
8,Larry Page,$110 billion,United States
9,Mark Zuckerberg,$107 billion,United States
10,Sergey Brin,$104 billion,United States
11,Mukesh Ambani,$96.7 billion,India
12,Carlos Slim,$96.2 billion,Mexico
13,Francoise Bettencourt Meyers,$91.9 billion,France
14,Amancio Ortega,$78.7 billion,Spain
15,Jim Walton,$72.4 billion,United States
16,Rob Walton,$70.4 billion,United States
17,Alice Walton,$69.3 billion,United States
18,Zhong Shanshan,$63.2 billion,China
19,Charles Koch,$63.0 billion,United States
20,Julia Flesher Koch &family,$63.0 billion,United States
21,Michael Dell,$62.1 billion,United States
22,Gautam Adani,$60.8 billion,India
23,Jacqueline Badger Mars,$59.0 billion,United States
24,John Mars,$59.0 billion,United States
25,Alain  Wertheimer,$50.9 billion,France
26,Gerard Wertheimer,$50.9 billion,France
27,Changpeng Zhao,$45.5 billion,Canada
28,Klaus-Michael Kuehne,$45.2 billion,Germany
29,Francois Pinault,$43.7 billion,France
30,Zhang Yiming,$42.3 billion,China
31,Phil Knight & family,$42.2 billion,United States
32,Jensen Huang,$39.7 billion,United States
33,Len Blavatnik,$38.9 billion,United States
34,Giovanni Ferrero & family,$38.6 billion,Italy
35,Ma Huateng,$38.3 billion,China
36,Tadashi Yanai,$37.2 billion,Japan
37,Ken Griffin,$37.0 billion,United States
38,Miriam Adelson,$36.6 billion,United States
39,Abigail Johnson,$35.6 billion,United States
40,Stephen Schwarzman,$35.4 billion,United States
41,Jeff Yass,$33.5 billion,United States
42,German Larrea,$32.8 billion,Mexico
43,Zeng Yuqun,$32.3 billion,HongKong
44,William Ding,$31.6 billion,China
45,Dieter Schwarz,$31.2 billion,Germany
46,Shapoor Mistry,$30.8 billion,India
47,Jack Ma,$30.7 billion,China
48,MacKenzie Scott,$29.8 billion,United States
49,Vladimir Potanin,$29.8 billion,Russian Federation
50,Li Ka-shing,$29.2 billion,Hong Kong
51,James Simons,$28.8 billion,United States
52,Susanne Klatten,$28.6 billion,Germany
53,Low Tuck Kwong,$27.4 billion,Indonesia
54,Leonid Mikhelson,$27.2 billion,Russian Federation
55,Iris Fontbona & family,$26.9 billion,Chile
56,Colin Huang,$26.8 billion,China
57,Reinhold Wuerth,$26.1 billion,Germany
58,Thomas Peterffy,$26.1 billion,United States
59,Shiv Nadar,$26.1 billion,India
60,Takemitsu Takizaki,$25.9 billion,Japan
61,Stefan Quandt,$25.6 billion,Germany
62,Lukas Walton,$25.2 billion,United States
63,Thomas Frist,$25.1 billion,United States
64,Azim Premji,$24.6 billion,India
65,Eric Schmidt,$24.4 billion,United States
66,Vladimir Lisin,$24.3 billion,Russian Federation
67,He Xiangjian,$24.2 billion,China
68,Andrew Forrest,$23.8 billion,Australia
69,Ernesto Bertarelli & family,$23.5 billion,Switzerland
70,Xu Yangtian,$23.5 billion,China
71,Elaine Marshall,$23.3 billion,United States
72,Dan Gilbert,$23.0 billion,United States
73,Rodolphe Saade & family,$22.9 billion,France
74,Budi Hartono,$22.7 billion,Indonesia
75,Harold Hamm,$22.5 billion,United States
76,Henry Cheng,$22.3 billion,Hong Kong
77,Leonard Lauder,$22.1 billion,United States
78,Jorge Paulo Lemann,$22.0 billion,Brazil
79,Eyal Ofer,$22.0llion,Monaco
80,Mark Mateschitz,$21.9 billion,Austria
81,Gina Rinehart,$21.6 billion,Australia
82,Vagit Alekperov,$21.1 billion,Russian Federation
83,Gianluigi Aponte,$20.8 billion,Switzerland
84,Vicky Safra,$20.7 billion,Greece
85,Lee Shau Kee,$20.6 billion,Hong Kong
86,Michael Hartono,$20.4 billion,Indonesia
87,Idan Ofer,$20.3 billion,Israel
88,Wang Chuan-Fu,$19.8 billion,China
89,Lakshmi Mittal,$19.5 billion,India
90,John Menard,$19.4 billion,United States
91,Stefan Persson,$19.1 billion,Sweden
92,Alexy Mordashov,$19.0 billion,Russian Federation
93,Alisher Usmanov,$18.7 billion,Russian Federation
94,Dustin Moskovitz,$18.4 billion,United States
95,Dilip Shanghvi,$18.0 billion,India
96,Radhakrishan Damani,$17.7 billion,India
97,Cyrus Poonawalla,$17.5 billion,India
98,Donald Bren,$17.2 billion,United States
99,Lui Che-Woo,$17.0 billion,Hong Kong
100,Sammy Lee,$17.0 billion,Hong Kong
,,,
,,,
,,,
,,,
